Date,Name,NAV
10/04/2019,Fidelity Index World P Acc,1.964,
10/07/2019,Fidelity Index World P Acc,1.9925,
10/08/2019,Fidelity Index World P Acc,1.9936,
10/09/2019,Fidelity Index World P Acc,1.991,
10/10/2019,Fidelity Index World P Acc,1.9899,
10/11/2019,Fidelity Index World P Acc,1.9713,
10/14/2019,Fidelity Index World P Acc,1.9709,
10/15/2019,Fidelity Index World P Acc,1.9671,
10/16/2019,Fidelity Index World P Acc,1.963,
10/17/2019,Fidelity Index World P Acc,1.9514,
10/18/2019,Fidelity Index World P Acc,1.9457,
10/21/2019,Fidelity Index World P Acc,1.9306,
10/22/2019,Fidelity Index World P Acc,1.9432,
10/23/2019,Fidelity Index World P Acc,1.951,
10/24/2019,Fidelity Index World P Acc,1.9577,
10/25/2019,Fidelity Index World P Acc,1.9669,
10/28/2019,Fidelity Index World P Acc,1.9741,
10/29/2019,Fidelity Index World P Acc,1.9776,
10/30/2019,Fidelity Index World P Acc,1.9725,
10/31/2019,Fidelity Index World P Acc,1.9633,
11/01/2019,Fidelity Index World P Acc,1.965,
11/04/2019,Fidelity Index World P Acc,1.9979,
11/05/2019,Fidelity Index World P Acc,1.9981,
11/06/2019,Fidelity Index World P Acc,1.9993,
11/07/2019,Fidelity Index World P Acc,2.0174,
11/08/2019,Fidelity Index World P Acc,2.0171,
11/11/2019,Fidelity Index World P Acc,2.0096,
11/12/2019,Fidelity Index World P Acc,2.0139,
11/13/2019,Fidelity Index World P Acc,2.0074,
11/14/2019,Fidelity Index World P Acc,2.013,
11/15/2019,Fidelity Index World P Acc,2.0092,
11/18/2019,Fidelity Index World P Acc,2.0126,
11/19/2019,Fidelity Index World P Acc,2.0185,
11/20/2019,Fidelity Index World P Acc,2.0156,
11/21/2019,Fidelity Index World P Acc,2.0025,
11/22/2019,Fidelity Index World P Acc,2.0139,
11/25/2019,Fidelity Index World P Acc,2.0197,
11/26/2019,Fidelity Index World P Acc,2.0304,
11/27/2019,Fidelity Index World P Acc,2.0334,
11/28/2019,Fidelity Index World P Acc,2.034,
11/29/2019,Fidelity Index World P Acc,2.0344,
12/02/2019,Fidelity Index World P Acc,2.027,
12/03/2019,Fidelity Index World P Acc,1.9975,
12/04/2019,Fidelity Index World P Acc,1.9882,
12/05/2019,Fidelity Index World P Acc,1.9869,
12/06/2019,Fidelity Index World P Acc,1.9851,
12/09/2019,Fidelity Index World P Acc,1.9922,
12/10/2019,Fidelity Index World P Acc,1.9776,
12/11/2019,Fidelity Index World P Acc,1.9882,
12/12/2019,Fidelity Index World P Acc,1.9913,
12/13/2019,Fidelity Index World P Acc,1.9872,
12/16/2019,Fidelity Index World P Acc,1.9915,
12/17/2019,Fidelity Index World P Acc,2.0203,
12/18/2019,Fidelity Index World P Acc,2.0359,
12/19/2019,Fidelity Index World P Acc,2.0357,
12/20/2019,Fidelity Index World P Acc,2.0549,
12/23/2019,Fidelity Index World P Acc,2.0675,
12/24/2019,Fidelity Index World P Acc,2.0737,
12/27/2019,Fidelity Index World P Acc,2.0665,
12/30/2019,Fidelity Index World P Acc,2.0584,
12/31/2019,Fidelity Index World P Acc,2.0346,
01/02/2020,Fidelity Index World P Acc,2.0515,
01/03/2020,Fidelity Index World P Acc,2.0507,
01/06/2020,Fidelity Index World P Acc,2.0399,
01/07/2020,Fidelity Index World P Acc,2.0599,
01/08/2020,Fidelity Index World P Acc,2.0586,
01/09/2020,Fidelity Index World P Acc,2.0865,
01/10/2020,Fidelity Index World P Acc,2.0828,
01/13/2020,Fidelity Index World P Acc,2.0946,
01/14/2020,Fidelity Index World P Acc,2.1016,
01/15/2020,Fidelity Index World P Acc,2.099,
01/16/2020,Fidelity Index World P Acc,2.0997,
01/17/2020,Fidelity Index World P Acc,2.1157,
01/20/2020,Fidelity Index World P Acc,2.1247,
01/21/2020,Fidelity Index World P Acc,2.1087,
01/22/2020,Fidelity Index World P Acc,2.1093,
01/23/2020,Fidelity Index World P Acc,2.0982,
01/24/2020,Fidelity Index World P Acc,2.1069,
01/27/2020,Fidelity Index World P Acc,2.0591,
01/28/2020,Fidelity Index World P Acc,2.073,
01/29/2020,Fidelity Index World P Acc,2.0917,
01/30/2020,Fidelity Index World P Acc,2.0616,
01/31/2020,Fidelity Index World P Acc,2.0604,
02/03/2020,Fidelity Index World P Acc,2.0548,
02/04/2020,Fidelity Index World P Acc,2.0881,
02/05/2020,Fidelity Index World P Acc,2.1032,
